Date,Open,High,Low,Close,Adj Close,Volume
03-01-2022,119.3799973,121.9499969,115.8199997,120.3799973,118.7832336,16775300
04-01-2022,119.5299988,120.8700027,115.7699966,119.5599976,117.9741135,20824000
05-01-2022,118,126.6200027,117.6999969,121.1600037,119.5528946,36651100
06-01-2022,124.2600021,128.3999939,123.4649963,126.6299973,124.9503326,32045800
07-01-2022,130.2400055,133.8800049,128.1799927,129.8099976,128.08815,38113000
10-01-2022,131.9900055,132.6000061,126.2300034,128.3000031,126.5981827,23372200
11-01-2022,129.2100067,134.2299957,127.4700012,132.1900024,130.4365845,23616400
12-01-2022,136.0200043,138.6999969,135.5850067,137.4100037,135.5873413,25961100
13-01-2022,135.1999969,135.9199982,131.3000031,131.3699951,129.6274567,19887700
14-01-2022,132.8099976,134.3600006,129.3500061,131.5700073,129.8248138,18614900
18-01-2022,126.2699966,132.1300049,124.8199997,128.6000061,126.8942108,26122200
19-01-2022,128.1000061,130.8600006,127.1299973,127.7399979,126.0456085,14665200
20-01-2022,135.7700043,136.75,130.6799927,131.0299988,129.2919769,28966400
21-01-2022,128.2299957,128.9600067,122.5210037,123.2300034,121.5954361,26341400
24-01-2022,119.3199997,120.7799988,115.3199997,120.3700027,118.7733688,28509300
25-01-2022,119.9100037,122.4599991,118.0400009,119.1399994,117.5596848,22224100
26-01-2022,120.9300003,120.9300003,112.961998,113.3700027,111.8662262,27513200
27-01-2022,113.1100006,114.5400009,110.2699966,111.7900009,110.3071747,21472700
28-01-2022,113.25,115.3199997,110.0599976,115.2300034,113.7015533,18892400
31-01-2022,118.1699982,125.8700027,117.5,125.7900009,124.1214752,20346500
01-02-2022,124.8099976,128,122.9700012,127.2200012,125.5325089,15036100
02-02-2022,127.6299973,127.6299973,121.1699982,122.8799973,121.2500763,14050100
03-02-2022,121.5500031,125.2699966,120.7300034,123.4700012,121.8322525,16651500
04-02-2022,121.2699966,123.9400024,119.6600037,122.2200012,120.5988312,13538200
07-02-2022,116.0999985,116.5500031,113.5999985,114.8199997,113.2969894,28589200
08-02-2022,118.1600037,122.2399979,116.8000031,121.9000015,120.2830734,22340500
09-02-2022,123.0899963,126.8000031,121.9400024,126.5,124.8220596,18253600
10-02-2022,124.1100006,128.3399963,123.4000015,123.9800034,122.3354874,16116600
11-02-2022,125.3349991,126.7200012,121.9400024,122.25,120.6284332,13889900
14-02-2022,120.5599976,122.3840027,119.3700027,121.9199982,120.3028107,13154900
15-02-2022,123.7699966,126.8050003,123.3779984,126.2399979,124.565506,14634700
16-02-2022,125.6100006,127.5800018,124.5100021,125.5599976,123.8945236,17993300
17-02-2022,125,129.3999939,124.0559998,124.4300003,122.7795181,15906000
18-02-2022,120.8799973,120.8799973,117.1999969,118.9899979,117.4116745,21201400
22-02-2022,114,114.8499985,112.0599976,112.9300003,111.4320526,21755100
23-02-2022,115.0999985,115.4000015,109.5999985,109.7200012,108.2646332,24489200
24-02-2022,100.0739975,108.9499969,100.0199966,108.9300003,107.4851151,35294700
25-02-2022,107.8899994,108.5500031,104,107.9400024,106.5082474,21428400
28-02-2022,105.9700012,107.4899979,103.6399994,105.1900024,103.7947235,23063500
01-03-2022,105.8499985,111.25,105.8499985,107.0899963,105.6695175,21218500
02-03-2022,107.3899994,107.3899994,103.2399979,105.4199982,104.0216675,20791800
03-03-2022,106.0299988,106.6299973,101.0699997,102.0500031,100.696373,21725900
04-03-2022,100.2900009,104.3899994,99.33000183,100.5999985,99.26560211,24574700
07-03-2022,99.55999756,103.3600006,98.59999847,98.66000366,97.35134125,20679400
08-03-2022,99.31999969,100.9100037,95.56999969,97.5,96.20672607,23275500
09-03-2022,100.2600021,100.9700012,98.31999969,100.9300003,99.5912323,20853600
10-03-2022,95.19000244,95.69999695,90.81999969,92.91999817,91.68747711,37671200
11-03-2022,93.26000214,93.94999695,86.68000031,86.70999908,85.55984497,39341800
14-03-2022,80.69999695,82.44999695,77.08000183,77.76000214,76.72856903,69992600
15-03-2022,75.09999847,80.13999939,73.27999878,76.76000214,75.74182892,86209300
16-03-2022,92,105.7399979,87.12000275,104.9800034,103.5875092,159834300
17-03-2022,99.13999939,101.8899994,95.76999664,100.3700027,99.03865814,80663200
18-03-2022,100.5,111.7399979,99.59999847,108.3000031,106.863472,83781800
21-03-2022,102.8099976,105.6800003,98.69999695,103.5899963,102.2159424,58882900
22-03-2022,114.0100021,118.2399979,112.3700027,114.9899979,113.4647293,88193400
23-03-2022,115.6999969,124.1110001,112.6800003,117.2399979,115.6848831,81605700
24-03-2022,112.8600006,116.5,110.8199997,115.1500015,113.622612,55850200
25-03-2022,110.5299988,113.8600006,109.4000015,112.9899979,111.4912567,42396500
28-03-2022,113.8600006,116.2300034,111.9199982,115.0899963,113.5634003,30168000
29-03-2022,118.3600006,119.5999985,115.7399979,116.7099991,115.1619186,28060900
30-03-2022,115.5400009,120.1019974,115.5400009,116.5800018,115.0336456,28381700
31-03-2022,115.0299988,115.0899963,108.7099991,108.8000031,107.356842,31240200
01-04-2022,117.6200027,118.9499969,109.75,110.1999969,108.738266,55873000
04-04-2022,115.6999969,118.2200012,113.375,117.5,115.9414368,39088500
05-04-2022,115,115,110.2300034,111,109.5276566,35226000
06-04-2022,109.2399979,109.4700012,106.1200027,107.6800003,106.2516937,23739800
07-04-2022,106.6800003,107.5299988,102.6100006,104.2699966,102.8869247,26814300
08-04-2022,104.4800034,106.4700012,103.3290024,103.5299988,102.1567383,20814900
11-04-2022,101.0899963,103.9199982,99.16000366,101.5500031,100.2030106,23504100
12-04-2022,101.1800003,102.3300018,99.38999939,99.75,98.42687988,23953600
13-04-2022,99.23999786,101.3499985,98.20999908,100.0299988,98.70316315,18330400
